X144	X167	X511	X517	X608	X620	X654	X664	X671	X690	X704	X71	X711	X812	X838	X89	X147	X174	X492	X508	X605	X622	X651	X661	X668	X688	X702	X719	X80	X811	X817	X94	SRR1770734	SRR1770737	SRR1770738	SRR1770739	SRR1770742	SRR1770743	SRR1770744	SRR1770745	SRR1770746	SRR1770749	SRR1770752	SRR1770753	SRR1770755	SRR1770756	SRR1770758	SRR1770760	SRR1770761	SRR1770762	SRR1770766	SRR1770767	SRR1770768	SRR1770770	SRR1770772	SRR1770773	SRR1770775	SRR1770777	SRR1770778	SRR1770779	SRR1770782	SRR1770783	SRR1770785	SRR1770789	SRR1770790	SRR1770792	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770799	SRR1770802	SRR1770804	SRR1770805	SRR1770806	SRR1770807	SRR1770809	SRR1770812	SRR1770814	SRR1770815	SRR1770816	SRR1770818	SRR1770820	CN0_1	CN0_2	CN0_3	CN30_1	CN30_2	CN30_3	CN60_1	CN60_2	CN60_3	CN90_1	CN90_2	CN90_3	IN0_1	IN0_2	IN0_3	IN30_1	IN30_2	IN30_3	IN60_1	IN60_2	IN60_3	IN90_1	IN90_2	IN90_3	A3.B1.1x	A3.B1.1z	A3.B1.4x	A3.B1.4z	A3.B2.5x	A3.B2.5z	A3.B2.8x	A3.B2.8z	A3.B3.12x	A3.B3.12z	A3.B3.13z	A3.B3.9x	A3.B3.9z	A3.B4.13x	A3.B4.16x	A3.B4.16z	A3.B5.17x	A3.B5.17z	A3.B5.20x	A3.B5.20z	KA1F	KA1U	KA2F	KA2U	KA3F	KA3U	CK1	CK2	CK3	N1	N2	N3
43	6	7	3	14	39	22	12	21	14	21	25	24	10	17	119	38	36	17	26	122	38	11	22	25	21	39	68	17	8	20	29	7	4	7	4	7	3	6	4	1	0	0	0	0	0	0	0	0	0	11	0	7	6	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	6	4	13	5	33	138	64	11	42	10	14	23	84	20	43	98	8	15	6	7	1	16	4	5	2	1	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	485	477	427	446	566	6	2	8	4	11	2
4	0	7	4	4	14	2	17	6	4	12	0	9	2	8	22	3	5	6	5	42	4	2	1	12	15	17	15	0	3	3	8	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	21	26	4	57	15	16	29	5	35	14	86	5	5	49	8	18	13	13	2	1	0	3	1	3	36	3	25	62	38	16
181	210	1526	172	307	501	273	345	76	273	151	556	216	250	321	1479	290	408	280	224	2085	273	337	216	366	658	416	495	471	176	177	707	223	187	478	581	225	81	587	217	362	393	364	755	994	1132	338	564	346	236	46	76	48	28	41	19	41	51	64	72	21	27	17	35	14	7	4	64	19	7	41	11	17	6	97	169	29	113	274	154	195	137	347	6	5	9	0	13	7	4	9	4	6	1	2	3	10	15	1	5	5	5	6	5	0	8	5	30	3	13	4	6	16	4	0	9	3	4	6	139	6	2	4	5	4	13	2	395	179	125	157	218	151	40	14	24	71	34	15
8	4	2	6	4	8	3	2	10	20	11	5	6	1	5	57	1	1	3	1	43	2	3	8	5	7	22	25	22	5	10	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	14	5	45	8	7	4	8	17	10	3
17	4	6	10	7	23	15	19	9	21	9	23	22	12	19	108	5	12	3	13	154	4	13	6	22	17	15	27	10	38	11	58	1	3	4	7	6	0	13	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	11	3	5	2	0	8	2	0	0	0	3	3	0	0	1	0	2	0	98	120	92	58	98	96	7	3	5	19	5	0
3	0	0	0	2	3	0	2	0	0	4	0	2	1	0	3	0	2	1	0	10	4	1	2	0	0	6	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	3	2	5	7	8	1	1	7	3	2
31	24	12	17	23	30	14	23	40	41	33	47	23	17	39	216	27	25	20	29	219	25	26	27	36	46	46	107	12	16	23	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	6	3	2	3	5	11	51	11	5	7	2	5	3	12	4	5	13	4	10	0	0	3	3	2	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	53	31	18	9	12	5	2	6	3	11	2
3	1	3	2	6	3	6	3	5	4	10	5	5	1	5	22	2	4	3	5	43	3	2	5	5	5	6	15	3	1	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	56	12	67	209	73	32
4	4	4	0	1	10	4	2	4	4	2	4	5	4	2	22	2	5	5	6	24	8	2	10	11	2	15	19	1	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	1	4	0	0	2	3	0
101	42	83	66	117	144	59	70	93	203	107	106	92	78	88	534	92	86	45	85	661	73	42	45	133	152	98	165	119	53	75	228	0	2	2	1	2	0	5	15	15	6	17	3	0	8	7	17	2	37	5	2	3	8	0	0	5	1	3	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	7	15	48	7	33	13	4	6	3	1	4	2	2	1	23	4	14	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	2	12	1	0	1	4	6	3	0	0	0	1	2	0	468	233	176	189	225	287	11	9	0	9	3	4
11	14	2	4	4	6	9	10	11	21	10	10	3	6	6	37	12	8	8	5	69	5	1	1	22	6	16	26	14	7	12	23	50	67	27	61	61	31	75	51	78	0	0	0	0	0	0	0	0	0	0	3	7	7	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	8	11	7	2	12	12	53	80	48	29	35	21	30	32	48	73	54	35	3	10	4	6	12	8	1	1	2	4	5	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	315	329	394	394	388	9	0	5	27	7	6
5	6	0	0	1	4	8	0	0	0	1	2	4	2	2	11	2	7	1	1	12	0	1	1	3	2	8	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	18	6	26	5	2	2	4	7	4	1
11	4	4	7	23	22	3	25	16	23	17	19	19	26	1	46	23	12	2	9	150	11	5	3	9	16	19	51	13	10	10	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	6	8	30	3
25	20	34	59	37	36	21	22	21	18	19	37	19	31	34	228	17	38	50	47	197	40	46	18	37	40	40	103	25	14	41	79	144	225	163	191	127	120	164	81	119	41	29	8	28	23	46	32	21	48	63	45	117	101	74	87	108	116	98	184	190	104	121	119	140	121	154	179	148	173	169	307	186	83	221	247	248	277	158	147	150	109	184	341	352	374	344	199	372	293	483	313	368	228	291	474	598	410	632	446	565	761	644	813	372	699	723	102	33	80	11	14	58	51	173	48	15	80	42	336	29	8	90	23	48	71	34	1021	786	956	927	1361	949	113	31	73	169	125	29
64	61	32	34	46	77	45	44	60	42	66	107	89	83	31	322	45	97	47	64	433	121	47	72	58	64	83	232	16	44	45	111	2	2	6	0	1	1	0	0	0	11	9	2	6	4	12	12	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	2	7	7	1	0	1	0	1	4	6	3	5	8	2	0	3	7	0	5	0	1	1	2	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	22	25	26	16	20	0	0	0	0	0	0
73	82	67	133	141	131	155	84	87	71	120	99	87	85	114	677	46	104	295	269	830	145	190	90	128	145	82	464	38	52	92	180	64	23	18	35	28	11	41	30	33	21	32	26	62	47	67	31	58	20	29	47	36	25	9	19	44	44	21	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	9	15	5	15	12	11	22	21	51	7	5	7	5	13	2	3	7	4	3	3	9	0	8	1	0	2	1	1	1	0	1	0	1	22	19	53	16	16	11	36	81	35	4	22	18	40	11	4	12	10	26	20	43	266	234	209	195	244	217	212	20	137	341	300	103
3	0	1	1	0	5	3	2	4	4	2	3	3	2	9	22	6	10	1	5	27	8	4	2	7	4	10	6	3	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	3	1	2	15	43	12	14	21	10	4	7	14	11	10	8	2	14	1	0	9	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	16	22	19	29	30	6	1	2	5	6	0
52	18	43	38	38	125	23	60	46	85	95	79	63	64	37	297	43	52	20	45	435	44	37	24	78	106	70	112	66	24	39	193	10	4	0	7	0	1	13	8	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	6	0	3	13	1	6	4	6	10	3	0	1	4	3	10	3	19	3	9	8	2	1	3	4	1	5	3	1	1	2	3	0	5	3	4	1	3	59	5	0	3	2	1	7	4	4	4	3	3	13	115	40	90	50	151	100	30	9	6	38	19	9
5	1	5	1	4	4	9	2	1	4	7	1	0	6	5	20	0	0	1	6	32	12	11	11	6	5	0	25	0	5	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	60	83	63	105	167	112	131	85	234	287	129	135	56	118	785	83	172	152	115	990	103	98	132	152	192	123	396	163	55	125	196	48	36	25	44	25	50	57	31	69	27	22	23	21	27	22	38	27	31	7	12	14	11	8	11	9	26	19	16	13	6	9	4	6	74	62	81	44	40	190	49	30	28	11	17	7	27	6	10	30	18	31	112	372	140	30	83	58	38	25	190	89	67	111	64	86	29	22	19	31	16	62	15	18	35	41	12	16	27	14	6	4	27	62	17	12	8	14	31	12	1	4	9	13	19	13	1335	1058	830	925	1362	914	111	57	106	203	134	35
1	0	1	1	0	1	0	2	0	2	3	0	0	2	2	15	1	0	1	5	9	2	2	0	0	3	1	9	3	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	12	16	14	10	3	0	1	1	1	0
46	30	40	25	35	59	33	25	49	84	61	48	45	37	68	316	29	55	37	34	441	63	23	43	42	38	46	138	53	255	57	135	8	3	4	6	3	4	39	47	12	0	0	0	0	0	0	0	0	0	83	15	29	48	0	9	27	2	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	8	3	3	10	29	18	11	19	3	8	5	17	9	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	858	972	790	1180	854	18	5	7	31	21	8
5	4	3	2	4	8	2	7	3	3	6	10	2	2	4	26	2	3	4	4	37	6	2	12	10	4	6	19	2	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	6	6	8	7	7	5	8	9	9	1
